Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Oct 2022,Searches: Nov 2022,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023
paragraph on solar energy,INR,500,0%,0%,Low,1,8.32,270.28,,,,,,,,,,,,,,,,,
patanjali renewable energy,INR,500,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
patanjali renewable energy pvt ltd,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
petronas renewable energy,INR,50,0%,0%,Low,14,,,,,,,,,,,,,,,,,,,
poet biofuels,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
power home solar cost,INR,50,∞,∞,Low,0,,,,,,,,,,,,,,,,,,,
principles of ecotourism,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
pv renewables,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
r power renewables,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
radiance renewables,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
rance tidal power station,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
rangel renewables,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
re new power,INR,50000,0%,0%,Low,0,14.25,146.50,,,,,,,,,,,,,,,,,
re100 companies,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
renew power company,INR,5000,0%,0%,Low,1,30.78,106.54,,,,,,,,,,,,,,,,,
renew power limited,INR,500,0%,0%,Low,1,13.40,98.13,,,,,,,,,,,,,,,,,
renew power private limited,INR,5000,0%,0%,Low,1,30.78,106.54,,,,,,,,,,,,,,,,,
renewability,INR,50000,0%,0%,Low,1,14.38,41.62,,,,,,,,,,,,,,,,,
renewable and non renewable sources,INR,5000,0%,0%,Low,1,14.62,48.28,,,,,,,,,,,,,,,,,
renewable and nonrenewable resources ppt,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
renewable carbon,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
renewable energy day,INR,500,0%,0%,Low,1,17.58,51.53,,,,,,,,,,,,,,,,,
renewable energy upsc,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
renewable non renewable,INR,50000,0%,0%,Low,0,15.45,58.27,,,,,,,,,,,,,,,,,
renewable resources ppt,INR,500,0%,0%,Low,4,13.29,29.55,,,,,,,,,,,,,,,,,
renewable sources and non renewable sources,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
resources environment and sustainability,INR,50,-90%,0%,Low,1,,,,,,,,,,,,,,,,,,,
resustainability com,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
roots zero waste market,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sdg upsc,INR,5000,0%,0%,Low,0,18.84,166.47,,,,,,,,,,,,,,,,,
sembcorp green infra limited,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
skyline renewables,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
social footprint,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
social responsibility and good governance,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
solar energy air and water are,INR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
solar energy can be changed,INR,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
solar energy can be used to produce,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
solar energy elsevier,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
solar energy is produced by,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
solar energy slideshare,INR,500,0%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
solar energy upsc,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
solar power home panels,INR,50000,0%,0%,High,89,5.24,19.14,,,,,,,,,,,,,,,,,
solar power plant ppt,INR,500,0%,0%,Low,1,35.48,243.05,,,,,,,,,,,,,,,,,
solar pv cell,INR,5000,0%,0%,Low,2,5.83,16.88,,,,,,,,,,,,,,,,,
space solar power ppt,INR,500,900%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sse pacifico,INR,50,0%,∞,Low,0,,,,,,,,,,,,,,,,,,,
strong sustainability,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
subterra renewables,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainability day 2022,INR,50,0%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
sustainability is defined as,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainability month,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainability pavilion,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
sustainable capitalism,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable development was defined for the first time in the,INR,500,0%,-90%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable energy provider,INR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
sustainable gastronomy day,INR,500,-90%,-90%,Low,2,,,,,,,,,,,,,,,,,,,
sustainable innovative solutions,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable jersey,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable jungle,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable use,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
tata green energy,INR,500,0%,0%,Low,3,6.66,42.45,,,,,,,,,,,,,,,,,
tata power blackrock,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
tata power green energy,INR,500,900%,0%,Low,2,,,,,,,,,,,,,,,,,,,
tata power renewable energy,INR,5000,0%,0%,Low,2,6.66,58.27,,,,,,,,,,,,,,,,,
tata power renewable energy limited,INR,5000,0%,0%,Low,2,6.66,58.27,,,,,,,,,,,,,,,,,
tata power renewables,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
the efficiency of geothermal plant is about,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
the energy stored in coal is,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
the main source of energy is,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
the natural step,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
the renewable source of energy is,INR,500,900%,0%,Low,4,20.71,58.27,,,,,,,,,,,,,,,,,
the solar energy can change electricity,INR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
tidal power station,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
totalenergies renewables,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
towards green energy,INR,500,900%,0%,Low,2,17.20,38.83,,,,,,,,,,,,,,,,,
traditional biomass,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
two non renewable resources,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
two renewable resources,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
two renewable sources of energy,INR,500,0%,0%,Low,1,19.14,66.59,,,,,,,,,,,,,,,,,
two uses of solar energy,INR,500,900%,0%,Low,0,,,,,,,,,,,,,,,,,,,
types of biomass energy,INR,5000,-90%,0%,Low,0,,,,,,,,,,,,,,,,,,,
types of geothermal power plant,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
types of geothermal resources,INR,500,0%,900%,Low,0,,,,,,,,,,,,,,,,,,,
types of non renewable resources,INR,5000,0%,0%,Low,0,29.13,66.59,,,,,,,,,,,,,,,,,
un sustainable development goals sdgs,INR,50000,0%,0%,Low,9,34.34,218.91,,,,,,,,,,,,,,,,,
uncsd,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
underwater turbine,INR,50,900%,0%,Low,0,,,,,,,,,,,,,,,,,,,
ungc signatory,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
uses of non renewable resources,INR,500,0%,900%,Low,0,,,,,,,,,,,,,,,,,,,
uses of renewable resources,INR,500,0%,0%,Low,4,13.31,39.12,,,,,,,,,,,,,,,,,
uses of solar power,INR,5000,0%,0%,Low,1,5.83,66.59,,,,,,,,,,,,,,,,,
uses of wind power,INR,5000,0%,0%,Low,2,8.32,58.27,,,,,,,,,,,,,,,,,
uses of windmill,INR,5000,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
vector green energy,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
vector renewables,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
virescent renewable energy trust,INR,500,0%,0%,Low,1,1.19,18.31,,,,,,,,,,,,,,,,,
wave energy is a source of energy,INR,50,∞,∞,Low,0,,,,,,,,,,,,,,,,,,,
ways of keeping our environment clean,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
wbcsd climate lockdown,INR,50,∞,0%,Low,0,,,,,,,,,,,,,,,,,,,
wced 1987,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
weak and strong sustainability,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
weak sustainability,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
wind energy is,INR,500,900%,0%,Low,0,,,,,,,,,,,,,,,,,,,
wind energy types,INR,5000,0%,0%,Low,2,5.83,30.97,,,,,,,,,,,,,,,,,
wind energy upsc,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
wind is a clean source,INR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
wind is a clean source of renewable energy,INR,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
wind power plant ppt,INR,500,0%,0%,Low,2,29.71,277.18,,,,,,,,,,,,,,,,,
wind projects,INR,5000,0%,0%,Low,1,9.99,54.02,,,,,,,,,,,,,,,,,
wind sources,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
world sustainability day 2022,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
world sustainable energy day,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
